Threshold Percentile,Precision,Recall,F1 Score
30,0.798111653253913,0.9814540637419154,0.8803382959390508
35,0.846106599331195,0.9661030156627445,0.902131994469912
40,0.8807481886736656,0.9283098262292527,0.903903789976858
45,0.9127348979756432,0.8818670614821165,0.8970355104629042
50,0.9274308019872249,0.8146185615210785,0.8673719145405517
55,0.9365204534253326,0.7403568923868152,0.8269649229697972
60,0.9758261255267243,0.6857320969375827,0.8054551279117661
65,0.9911291344569763,0.6094444011532767,0.7547770700636943
70,0.99260683128789,0.523104496220681,0.6851398244539701
75,0.9927253371185237,0.43598535026883817,0.6058801234501056
80,0.9920159680638723,0.3485545079092963,0.5158574558874409
85,0.9934949733885275,0.2618249824670771,0.4144310823311748
90,0.9991130820399113,0.17556300163640615,0.2986479321314952
95,1.0,0.08789838697109016,0.16159300909676957
